ID,Title,Positon in the shelf
0,Inception,first shelf
1,The Godfather,second shelf
2,Pulp Fiction,third shelf
3,Spirited Away,first shelf
4,The Grand Budapest Hotel,second shelf
5,Parasite,third shelf
6,The Dark Knight,first shelf
7,Whiplash,second shelf
8,Interstellar,third shelf
9,Arrival,first shelf
10,Blade Runner 2049,second shelf
11,The Shawshank Redemption,third shelf
12,Everything Everywhere All at Once,first shelf
13,The Social Network,second shelf
14,La La Land,third shelf
15,The Matrix,first shelf
16,The Prestige,second shelf
17,Mad Max: Fury Road,third shelf
18,Fight Club,first shelf
19,Amélie,second shelf
20,Joker,third shelf
21,Dune,first shelf
221,917,second shelf
23,The Imitation Game,third shelf
24,Her,first shelf
25,Get Out,second shelf
26,Moonlight,third shelf
27,The Lighthouse,first shelf
28,The Revenant,second shelf
29,The Irishman,third shelf
30,The Wolf of Wall Street,first shelf
31,No Country for Old Men,second shelf
32,The Truman Show,third shelf
33,Eternal Sunshine of the Spotless Mind,first shelf
34,The Pianist,second shelf
35,Lost in Translation,third shelf
36,The Shape of Water,first shelf
37,Once Upon a Time in Hollywood,second shelf
38,The Artist,third shelf
39,Gravity,first shelf
40,Gladiator,second shelf
41,The Curious Case of Benjamin Button,third shelf
42,The Silence of the Lambs,first shelf
43,The Green Mile,second shelf
44,The Big Lebowski,third shelf
45,Mulholland Drive,first shelf
46,Oldboy,second shelf
47,Pan’s Labyrinth,third shelf
48,The Departed,first shelf
49,Casino Royale,second shelf
50,Skyfall,third shelf
51,Edge of Tomorrow,first shelf
52,Ex Machina,second shelf
53,The Sixth Sense,third shelf
54,Shutter Island,first shelf
55,Tenet,second shelf
56,The Iron Giant,third shelf
57,Coraline,first shelf
58,WALL·E,second shelf
59,Up,third shelf
60,Toy Story 3,first shelf
61,Coco,second shelf
62,Ratatouille,third shelf
63,Inside Out,first shelf
64,The Incredibles,second shelf
65,Finding Nemo,third shelf
66,"Monsters, Inc.",first shelf
67,The Lion King,second shelf
68,Beauty and the Beast,third shelf
69,Frozen,first shelf
70,Encanto,second shelf
71,Zootopia,third shelf
72,The Lego Movie,first shelf
73,Spider-Man: Into the Spider-Verse,second shelf
74,Across the Spider-Verse,third shelf
75,Guardians of the Galaxy,first shelf
76,Avengers: Endgame,second shelf
77,Iron Man,third shelf
78,Black Panther,first shelf
79,Doctor Strange,second shelf
80,Thor: Ragnarok,third shelf
81,Logan,first shelf
82,Deadpool,second shelf
83,Joker’s Game,third shelf
84,Midnight Sun,first shelf
85,The Forgotten Room,second shelf
86,Neon Valley,third shelf
87,City of Glass,first shelf
88,The Lost Horizon,second shelf
89,Silent Echoes,third shelf
90,The White Rain,first shelf
91,Crimson Skies,second shelf
92,Echoes of Tomorrow,third shelf
93,The Sapphire Sea,first shelf
94,The Last Ember,second shelf
95,Velvet Storm,third shelf
96,Mirage Protocol,first shelf
97,Hollow Crown,second shelf
98,Shadows Beneath,first shelf
99,The Golden Frame,first shelf
